"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"alcorn-state-braves-troy-trojans-201412020596","20141202","home","troy-trojans","Sun Belt", 64,72,112.87, 79.95,0.47,0.31,0.59,10,28,7,2,7,"alcorn-state-braves","Southwestern Athletic", 62,51, 81.92,115.65,0.34,0.30,0.67,10,20,5,5,19
"byu-cougars-utah-state-aggies-201412020611","20141202","away","byu-cougars","West Coast", 73,91,125.51,111.72,0.39,0.20,0.87,15,27,9,1,19,"utah-state-aggies","Mountain West", 74,81,109.22,122.71,0.46,0.50,0.70,7,24,4,2,26
"campbell-fighting-camels-james-madison-dukes-201412020282","20141202","home","james-madison-dukes","Colonial Athletic", 64,63, 98.61, 95.48,0.51,0.38,0.61,4,19,6,3,17,"campbell-fighting-camels","Big South", 63,61, 97.57,100.77,0.45,0.26,0.67,8,15,8,2,21
"central-michigan-chippewas-bradley-braves-201412020062","20141202","home","bradley-braves","Missouri Valley", 67,84,124.91,108.55,0.52,0.40,0.74,10,31,4,2,25,"central-michigan-chippewas","Mid-American", 67,73,108.24,124.56,0.44,0.33,0.77,2,17,8,2,30
"citadel-bulldogs-charleston-cougars-201412020107","20141202","home","charleston-cougars","Colonial Athletic", 58,59,102.39, 95.45,0.45,0.17,0.79,6,19,10,4,18,"citadel-bulldogs","Southern", 59,55, 93.65,100.46,0.39,0.56,0.77,8,22,2,3,16
"delaware-state-hornets-hawaii-rainbow-warriors-201412020246","20141202","home","hawaii-rainbow-warriors","Big West", 68,75,109.69, 87.75,0.46,0.38,0.64,12,25,9,3,19,"delaware-state-hornets","Mid-Eastern", 68,60, 88.72,110.89,0.38,0.11,0.82,11,21,5,4,12
"denver-pioneers-wyoming-cowboys-201412020661","20141202","home","wyoming-cowboys","Mountain West", 51,68,132.77, 82.01,0.59,0.33,0.73,3,24,5,1,17,"denver-pioneers","Summit", 50,42, 84.54,136.88,0.38,0.28,0.70,3,14,4,1,24
"gardner-webb-runnin-bulldogs-arizona-wildcats-201412020017","20141202","home","arizona-wildcats","Pac-12", 66,91,138.28, 98.77,0.56,0.59,0.50,12,29,8,2,16,"gardner-webb-runnin-bulldogs","Big South", 71,65, 91.47,128.05,0.38,0.34,0.58,4,20,0,0,18
"georgia-bulldogs-chattanooga-mocs-201412020581","20141202","away","georgia-bulldogs","Southeastern", 60,86,143.56, 91.81,0.63,0.64,0.71,7,28,4,10,16,"chattanooga-mocs","Southern", 63,55, 87.27,136.46,0.31,0.30,0.86,7,11,2,5,19
"georgia-southern-eagles-ucf-knights-201412020103","20141202","home","ucf-knights","American Athletic", 61,61, 99.67, 96.41,0.56,0.35,0.60,6,24,4,1,13,"georgia-southern-eagles","Southern", 63,59, 93.62, 96.79,0.37,0.22,0.79,9,14,14,0,12
"grand-canyon-antelopes-uic-flames-201412020268","20141202","away","grand-canyon-antelopes","Western Athletic", 63,66,105.57, 97.57,0.46,0.41,0.60,6,22,5,7,19,"uic-flames","Horizon League", 67,61, 91.43, 98.92,0.34,0.19,0.90,10,24,4,0,16
"hampton-pirates-tennessee-state-tigers-201412020582","20141202","away","hampton-pirates","Mid-Eastern", 67,62, 92.00, 80.13,0.30,0.18,0.75,13,30,7,6,23,"tennessee-state-tigers","Ohio Valley", 66,54, 82.30, 94.49,0.31,0.24,0.62,12,28,4,4,23
"howard-bison-duquesne-dukes-201412020174","20141202","home","duquesne-dukes","Atlantic Ten", 66,81,123.00, 95.66,0.52,0.38,0.50,13,23,5,7,19,"howard-bison","Mid-Eastern", 68,63, 92.53,118.96,0.37,0.27,0.65,15,16,6,3,19
"illinois-fighting-illini-miami-fl-hurricanes-201412020355","20141202","home","miami-fl-hurricanes","Atlantic Coast", 62,70,112.22, 97.79,0.38,0.30,0.81,7,31,4,3,16,"illinois-fighting-illini","Big Ten", 65,61, 93.86,107.71,0.33,0.23,0.67,14,25,1,1,20
"kennesaw-state-owls-fiu-golden-panthers-201412020212","20141202","home","fiu-golden-panthers","Conference USA", 64,59, 91.69, 59.06,0.44,0.15,0.47,7,31,7,2,13,"kennesaw-state-owls","Atlantic Sun", 62,38, 61.13, 94.92,0.27,0.19,0.60,7,20,5,7,15
"lamar-cardinals-iowa-state-cyclones-201412020277","20141202","home","iowa-state-cyclones","Big 12", 73,96,132.36, 81.35,0.52,0.38,0.61,11,17,16,3,8,"lamar-cardinals","Southland", 70,59, 83.82,136.38,0.40,0.38,0.71,13,21,5,2,17
"louisiana-tech-bulldogs-northwestern-state-demons-201412020422","20141202","away","louisiana-tech-bulldogs","Conference USA", 75,99,132.76,118.01,0.51,0.36,0.76,11,22,6,6,21,"northwestern-state-demons","Southland", 76,88,115.30,129.72,0.48,0.33,0.85,9,25,6,1,23
"loyola-maryland-greyhounds-columbia-lions-201412020127","20141202","away","loyola-maryland-greyhounds","Patriot League", 60,64,107.40,104.04,0.48,0.50,0.76,7,19,6,4,17,"columbia-lions","Ivy League", 59,62,104.76,108.14,0.40,0.29,0.64,14,17,4,4,18
"massachusetts-minutemen-lsu-tigers-201412020319","20141202","home","lsu-tigers","Southeastern", 79,82,103.88, 76.01,0.54,0.38,0.64,7,28,11,10,16,"massachusetts-minutemen","Atlantic Ten", 76,60, 79.09,108.09,0.38,0.15,0.63,9,20,12,3,17
"middle-tennessee-blue-raiders-belmont-bruins-201412020047","20141202","home","belmont-bruins","Ohio Valley", 67,63, 94.56, 88.56,0.38,0.45,0.67,3,19,6,3,18,"middle-tennessee-blue-raiders","Conference USA", 63,59, 94.30,100.69,0.37,0.43,0.69,12,27,7,8,24
"minnesota-golden-gophers-wake-forest-demon-deacons-201412020628","20141202","away","minnesota-golden-gophers","Big Ten", 75,84,112.69, 92.56,0.49,0.50,0.86,10,26,14,3,22,"wake-forest-demon-deacons","Atlantic Coast", 75,69, 92.47,112.58,0.41,0.37,0.58,9,20,13,2,15
"mount-st-marys-mountaineers-seton-hall-pirates-201412020508","20141202","home","seton-hall-pirates","Big East", 59,78,132.82, 93.65,0.65,0.38,0.69,9,26,8,5,14,"mount-st-marys-mountaineers","Northeast", 63,55, 87.00,123.39,0.34,0.26,0.67,7,9,6,3,14
"niagara-purple-eagles-st-johns-red-storm-201412020534","20141202","home","st-johns-red-storm","Big East", 69,70,101.84, 82.93,0.49,0.40,0.62,3,35,5,11,19,"niagara-purple-eagles","Metro Atlantic Athletic", 73,57, 77.89, 95.66,0.30,0.32,0.64,10,27,5,2,16
"norfolk-state-spartans-hofstra-pride-201412020252","20141202","home","hofstra-pride","Colonial Athletic", 63,88,139.79,117.55,0.52,0.56,0.70,6,19,9,2,14,"norfolk-state-spartans","Mid-Eastern", 67,74,110.51,131.42,0.46,0.43,0.60,12,19,3,2,27
"north-carolina-state-wolfpack-purdue-boilermakers-201412020474","20141202","home","purdue-boilermakers","Big Ten", 59,66,111.88,103.40,0.39,0.35,0.68,15,21,3,2,17,"north-carolina-state-wolfpack","Atlantic Coast", 56,61,109.51,118.48,0.45,0.45,0.63,9,19,4,3,19
"northern-illinois-huskies-depaul-blue-demons-201412020164","20141202","home","depaul-blue-demons","Big East", 67,78,115.95, 99.60,0.54,0.50,0.65,5,16,12,8,19,"northern-illinois-huskies","Mid-American", 66,67,101.96,118.70,0.48,0.18,0.77,13,20,11,4,15
"ohio-state-buckeyes-louisville-cardinals-201412020314","20141202","home","louisville-cardinals","American Athletic", 64,64,100.55, 86.41,0.35,0.34,0.57,17,28,11,5,21,"ohio-state-buckeyes","Big Ten", 65,55, 84.41, 98.22,0.30,0.33,0.60,14,25,10,4,23
"omaha-mavericks-kansas-state-wildcats-201412020288","20141202","home","kansas-state-wildcats","Big 12", 70,84,119.21, 93.66,0.53,0.43,0.46,11,31,7,3,20,"omaha-mavericks","Summit", 69,66, 95.32,121.32,0.44,0.29,0.60,4,20,8,3,24
"pittsburgh-panthers-indiana-hoosiers-201412020271","20141202","home","indiana-hoosiers","Big Ten", 61,81,133.56,113.77,0.54,0.41,0.62,12,23,5,3,17,"pittsburgh-panthers","Atlantic Coast", 65,69,106.25,124.72,0.36,0.27,0.71,22,19,4,3,18
"south-carolina-state-bulldogs-coastal-carolina-chanticleers-201412020122","20141202","home","coastal-carolina-chanticleers","Big South", 60,66,110.00, 86.67,0.49,0.50,0.45,12,27,4,3,12,"south-carolina-state-bulldogs","Mid-Eastern", 60,52, 86.32,109.56,0.31,0.35,0.90,9,19,11,2,17
"south-dakota-coyotes-csun-matadors-201412020419","20141202","away","south-dakota-coyotes","Summit", 60,68,113.24,108.25,0.44,0.53,0.72,9,25,5,1,16,"csun-matadors","Big West", 63,65,102.55,107.28,0.42,0.33,0.79,8,21,7,6,16
"south-florida-bulls-alabama-crimson-tide-201412020006","20141202","home","alabama-crimson-tide","Southeastern", 73,82,112.58, 97.47,0.43,0.32,0.80,15,23,10,0,20,"south-florida-bulls","American Athletic", 74,71, 96.02,110.89,0.50,0.50,0.47,9,23,9,1,24
"southeast-missouri-state-redhawks-missouri-tigers-201412020367","20141202","home","missouri-tigers","Southeastern", 58,65,111.13,104.29,0.50,0.53,0.57,6,21,4,2,20,"southeast-missouri-state-redhawks","Ohio Valley", 56,61,108.34,115.44,0.47,0.33,0.36,10,18,7,4,20
"southeastern-louisiana-lions-gonzaga-bulldogs-201412020233","20141202","home","gonzaga-bulldogs","West Coast", 53,76,143.09,107.32,0.53,0.38,1.00,12,17,5,2,14,"southeastern-louisiana-lions","Southland", 54,57,106.50,142.00,0.49,0.33,0.80,6,12,2,0,13
"stephen-f-austin-lumberjacks-memphis-tigers-201412020349","20141202","away","stephen-f-austin-lumberjacks","Southland", 60,64,106.41, 86.46,0.42,0.35,0.79,12,25,7,2,17,"memphis-tigers","American Athletic", 63,52, 82.57,101.63,0.39,0.08,0.56,12,19,6,7,17
"stony-brook-seawolves-cincinnati-bearcats-201412020116","20141202","home","cincinnati-bearcats","American Athletic", 62,78,125.97, 83.98,0.53,0.64,0.65,8,22,7,8,12,"stony-brook-seawolves","America East", 60,52, 86.32,129.48,0.40,0.15,0.40,12,15,4,1,16
"syracuse-orange-michigan-wolverines-201412020357","20141202","home","michigan-wolverines","Big Ten", 62,68,109.48,104.65,0.38,0.33,0.58,13,13,7,1,14,"syracuse-orange","Atlantic Coast", 62,65,104.73,109.56,0.50,0.35,0.79,9,25,5,5,15
"uapb-golden-lions-akron-zips-201412020003","20141202","home","akron-zips","Mid-American", 71,81,114.68, 84.95,0.43,0.36,0.65,14,26,8,4,14,"uapb-golden-lions","Southwestern Athletic", 68,60, 87.69,118.38,0.40,0.44,0.78,6,17,10,0,23
"uc-riverside-highlanders-bakersfield-roadrunners-201412021105","20141202","away","uc-riverside-highlanders","Big West", 58,59,102.30,100.57,0.47,0.29,0.76,3,20,10,5,13,"bakersfield-roadrunners","Western Athletic", 59,58, 97.76, 99.45,0.44,0.39,0.62,8,24,5,4,18
"umbc-retrievers-maryland-eastern-shore-hawks-201412020347","20141202","home","maryland-eastern-shore-hawks","Mid-Eastern", 62,65,105.59, 84.47,0.47,0.38,0.73,9,28,8,1,23,"umbc-retrievers","America East", 67,52, 77.46, 96.83,0.38,0.22,0.43,4,13,9,1,14
"ut-arlington-mavericks-texas-longhorns-201412020585","20141202","home","texas-longhorns","Big 12", 58,63,107.89, 90.77,0.30,0.19,0.81,25,23,3,13,10,"ut-arlington-mavericks","Sun Belt", 57,53, 93.14,110.71,0.36,0.44,0.67,8,11,5,5,23
"vcu-rams-illinois-state-redbirds-201412020269","20141202","away","vcu-rams","Atlantic Ten", 62,66,106.59,100.13,0.34,0.38,0.65,18,13,9,5,21,"illinois-state-redbirds","Missouri Valley", 65,62, 95.08,101.21,0.50,0.54,0.65,7,23,4,8,18
"wagner-seahawks-maine-black-bears-201412020334","20141202","home","maine-black-bears","America East", 75,82,108.95,107.62,0.54,0.29,0.71,6,18,8,1,16,"wagner-seahawks","Northeast", 76,81,106.70,108.02,0.51,0.53,0.53,10,19,7,1,23
"wright-state-raiders-evansville-aces-201412020193","20141202","home","evansville-aces","Missouri Valley", 64,86,133.66,121.22,0.67,0.44,0.74,5,19,6,4,15,"wright-state-raiders","Horizon League", 65,78,119.18,131.40,0.51,0.38,0.69,8,11,5,3,18
"youngstown-state-penguins-robert-morris-colonials-201412020489","20141202","away","youngstown-state-penguins","Horizon League", 68,89,130.44,118.71,0.54,0.42,0.76,10,22,9,2,17,"robert-morris-colonials","Northeast", 67,81,120.41,132.30,0.51,0.43,0.59,10,17,8,3,14
