game_key,date,win_court,win_team,win_conference,win_possessions,win_points_scored,win_offensive_rating,win_defensive_rating,win_field_goal_fraction,win_three_point_fraction,win_free_throw_fraction,win_offensive_rebounds,win_defensive_rebounds,win_steals,win_blocked_shots,win_personal_fouls,loss_team,loss_conference,loss_possessions,loss_points_scored,loss_offensive_rating,loss_defensive_rating,loss_field_goal_fraction,loss_three_point_fraction,loss_free_throw_fraction,loss_offensive_rebounds,loss_defensive_rebounds,loss_steals,loss_blocked_shots,loss_personal_fouls
akron-zips-eastern-michigan-eagles-201502140181,20150214,home,eastern-michigan-eagles,Mid-American,73,78,107.15,103.03,0.53,0.5,0.74,6,29,14,8,20,akron-zips,Mid-American,75,75,99.59,103.57,0.32,0.38,0.59,26,19,12,5,24
alabama-am-bulldogs-alabama-state-hornets-201502140008,20150214,away,alabama-am-bulldogs,Southwestern Athletic,68,80,117.12,103.95,0.46,0.32,0.65,10,22,6,2,20,alabama-state-hornets,Southwestern Athletic,68,71,104.28,117.5,0.41,0.37,0.7,11,21,2,1,24
alcorn-state-braves-mississippi-valley-state-delta-devils-201502140364,20150214,home,mississippi-valley-state-delta-devils,Southwestern Athletic,74,76,103.28,81.54,0.51,0.42,0.5,8,20,8,0,16,alcorn-state-braves,Southwestern Athletic,54,60,110.33,139.75,0.48,0.2,0.64,9,14,6,6,14
appalachian-state-mountaineers-louisiana-monroe-warhawks-201502140399,20150214,home,louisiana-monroe-warhawks,Sun Belt,62,69,111.35,93.6,0.51,0.29,0.61,6,26,2,5,21,appalachian-state-mountaineers,Southern,64,58,90.92,108.16,0.35,0.27,0.73,10,22,2,0,18
arkansas-razorbacks-ole-miss-rebels-201502140365,20150214,away,arkansas-razorbacks,Southeastern,66,71,107.58,106.06,0.47,0.45,0.6,6,20,2,7,17,ole-miss-rebels,Southeastern,68,70,103.5,104.98,0.38,0.25,0.68,16,23,5,4,14
auburn-tigers-georgia-bulldogs-201502140230,20150214,away,auburn-tigers,Southeastern,64,69,107.48,105.92,0.45,0.41,0.72,5,22,3,2,19,georgia-bulldogs,Southeastern,67,68,101.23,102.72,0.38,0.21,0.86,11,25,3,4,21
austin-peay-governors-ut-martin-skyhawks-201502140578,20150214,home,ut-martin-skyhawks,Ohio Valley,57,67,118.14,107.56,0.48,0.4,0.65,6,26,4,3,15,austin-peay-governors,Ohio Valley,59,61,102.9,113.02,0.37,0.33,0.8,11,22,4,1,16
bakersfield-roadrunners-new-mexico-state-aggies-201502140405,20150214,home,new-mexico-state-aggies,Western Athletic,62,74,118.91,93.2,0.49,0.36,0.81,7,20,3,1,18,bakersfield-roadrunners,Western Athletic,61,58,94.99,121.2,0.44,0.4,0.62,10,20,2,2,22
baylor-bears-kansas-jayhawks-201502140287,20150214,home,kansas-jayhawks,Big 12,61,74,120.87,104.53,0.47,0.33,0.83,7,25,4,2,16,baylor-bears,Big 12,63,64,101.7,117.59,0.38,0.35,0.78,11,19,6,2,22
binghamton-bearcats-new-hampshire-wildcats-201502140403,20150214,home,new-hampshire-wildcats,America East,61,66,107.38,78.09,0.41,0.44,0.79,12,31,3,1,22,binghamton-bearcats,America East,61,48,78.86,108.44,0.28,0.25,0.62,11,15,7,1,19
boise-state-broncos-fresno-state-bulldogs-201502140217,20150214,home,fresno-state-bulldogs,Mountain West,56,70,125.77,114.99,0.5,0.43,0.81,6,19,9,1,17,boise-state-broncos,Mountain West,58,64,110.01,120.32,0.48,0.47,0.75,5,16,9,1,19
bowling-green-falcons-ball-state-cardinals-201502140046,20150214,away,bowling-green-falcons,Mid-American,59,77,130.21,109.92,0.51,0.44,0.69,4,19,5,3,15,ball-state-cardinals,Mid-American,60,65,108.07,128.03,0.53,0.5,0.64,3,23,3,2,18
brown-bears-penn-quakers-201502140460,20150214,away,brown-bears,Ivy League,63,71,113.09,87.6,0.45,0.53,0.75,5,23,3,6,17,penn-quakers,Ivy League,65,55,84.1,108.56,0.34,0.21,0.93,7,19,5,4,24
bryant-bulldogs-mount-st-marys-mountaineers-201502140378,20150214,home,mount-st-marys-mountaineers,Northeast,59,75,127.03,115.18,0.46,0.39,0.7,12,17,7,4,15,bryant-bulldogs,Northeast,59,68,115.5,127.4,0.54,0.47,0.57,6,18,2,1,19
cal-state-fullerton-titans-hawaii-rainbow-warriors-201502140246,20150214,home,hawaii-rainbow-warriors,Big West,62,81,129.66,97.64,0.5,0.43,0.76,7,23,10,5,17,cal-state-fullerton-titans,Big West,68,61,90.13,119.68,0.36,0.19,0.85,9,21,4,1,16
central-connecticut-state-blue-devils-robert-morris-colonials-201502140489,20150214,home,robert-morris-colonials,Northeast,53,53,100.47,98.57,0.43,0.36,1,9,21,8,3,6,central-connecticut-state-blue-devils,Northeast,56,52,93.39,95.19,0.39,0.42,0,10,20,5,3,10
central-michigan-chippewas-buffalo-bulls-201502140071,20150214,away,central-michigan-chippewas,Mid-American,64,75,117.66,116.09,0.5,0.33,0.71,11,17,9,4,22,buffalo-bulls,Mid-American,61,74,121.58,123.23,0.44,0.27,0.75,18,18,7,3,21
charleston-southern-buccaneers-longwood-lancers-201502141219,20150214,away,charleston-southern-buccaneers,Big South,64,65,100.87,99.32,0.45,0.29,0.6,6,25,5,2,14,longwood-lancers,Big South,62,64,103.64,105.26,0.4,0.39,0.71,9,27,4,4,18
charlotte-49ers-utsa-roadrunners-201502140584,20150214,away,charlotte-49ers,Conference USA,64,89,139.83,127.26,0.55,0.56,0.86,9,17,10,5,20,utsa-roadrunners,Conference USA,67,81,121.75,133.78,0.45,0.29,0.71,18,15,4,4,22
colorado-state-rams-san-diego-state-aztecs-201502140498,20150214,home,san-diego-state-aztecs,Mountain West,65,72,111.36,97.44,0.49,0.25,0.77,6,27,4,7,15,colorado-state-rams,Mountain West,65,63,97.01,110.86,0.39,0.11,0.64,12,17,6,1,20
columbia-lions-dartmouth-big-green-201502140155,20150214,home,dartmouth-big-green,Ivy League,58,61,104.47,83.92,0.5,0.58,0.59,9,22,11,6,10,columbia-lions,Ivy League,58,49,84.68,105.42,0.39,0.3,0.67,6,13,8,4,21
connecticut-huskies-smu-mustangs-201502140515,20150214,home,smu-mustangs,American Athletic,58,73,124.81,94.04,0.48,0.38,0.78,14,21,9,6,17,connecticut-huskies,American Athletic,60,55,91.67,121.67,0.34,0.28,0.7,12,16,4,3,19
cornell-big-red-harvard-crimson-201502140245,20150214,home,harvard-crimson,Ivy League,57,61,106.61,69.91,0.41,0.33,0.75,10,30,5,5,15,cornell-big-red,Ivy League,58,40,68.76,104.85,0.24,0.27,0.88,6,19,3,4,16
davidson-wildcats-la-salle-explorers-201502140301,20150214,away,davidson-wildcats,Southern,62,77,124.45,111.52,0.51,0.42,0.59,8,19,5,4,12,la-salle-explorers,Atlantic Ten,64,69,107.08,119.49,0.47,0.24,0.87,7,18,6,2,17
delaware-fightin-blue-hens-william-and-mary-tribe-201502140658,20150214,away,delaware-fightin-blue-hens,Colonial Athletic,62,73,117.53,112.7,0.51,0.41,0.67,6,25,2,3,15,william-and-mary-tribe,Colonial Athletic,62,70,112.79,117.62,0.41,0.3,0.64,10,20,9,6,16
delaware-state-hornets-maryland-eastern-shore-hawks-201502140347,20150214,away,delaware-state-hornets,Mid-Eastern,68,91,133.56,124.75,0.5,0.42,0.86,9,19,5,2,18,maryland-eastern-shore-hawks,Mid-Eastern,69,85,123.83,132.58,0.51,0.42,0.6,10,22,5,1,18
drake-bulldogs-indiana-state-sycamores-201502140274,20150214,home,indiana-state-sycamores,Missouri Valley,60,75,124.5,89.64,0.55,0.48,0.9,8,16,12,3,11,drake-bulldogs,Missouri Valley,56,54,96.44,133.95,0.43,0.53,0.86,8,12,5,0,14
duke-blue-devils-syracuse-orange-201502140553,20150214,away,duke-blue-devils,Atlantic Coast,70,80,115.02,103.52,0.47,0.47,0.86,10,27,5,2,16,syracuse-orange,Atlantic Coast,68,72,105.37,117.08,0.43,0.36,0.46,11,18,8,9,17
